35.5,-73.078468,-67.127449,-78.387398,-73.272362,-35,-35,-35,-35
36,-72.734718,-66.386208,-78.470985,-74.336166,-35,-35,-35,-35
36.5,-72.711571,-65.835472,-78.698189,-74.910027,-35,-35,-35,-35
37,-73.148766,-65.641891,-78.8675,-75.017265,-35,-35,-35,-35
37.5,-73.953804,-65.902184,-78.750908,-74.795715,-35,-35,-35,-35
38,-74.839104,-66.533669,-78.27066,-74.366463,-35,-35,-35,-35
38.5,-75.466698,-67.292915,-77.59346,-73.758499,-35,-35,-35,-35
39,-75.660431,-67.905708,-76.993202,-72.947784,-35,-35,-35,-35
39.5,-75.562119,-68.251534,-76.694061,-71.911369,-35,-35,-35,-35
40,-75.508606,-68.408936,-76.751724,-70.719238,-35,-35,-35,-35
40.5,-75.764969,-68.605949,-76.995323,-69.567413,-35,-35,-35,-35
41,-76.388939,-69.070244,-77.158188,-68.685997,-35,-35,-35,-35
41.5,-77.205238,-69.850769,-77.015213,-68.272278,-35,-35,-35,-35
42,-77.925179,-70.810486,-76.511253,-68.402489,-35,-35,-35,-35
42.5,-78.286522,-71.691177,-75.793114,-68.971565,-35,-35,-35,-35
43,-78.174141,-72.233231,-75.067154,-69.732048,-35,-35,-35,-35
43.5,-77.698593,-72.370079,-74.455399,-70.389816,-35,-35,-35,-35
44,-77.093048,-72.240181,-73.920151,-70.769203,-35,-35,-35,-35
44.5,-76.595009,-72.104416,-73.321793,-70.892288,-35,-35,-35,-35
45,-76.334839,-72.192017,-72.589485,-70.928947,-35,-35,-35,-35
45.5,-76.234375,-72.541656,-71.796577,-71.061523,-35,-35,-35,-35
46,-76.100281,-73.001564,-71.199409,-71.320091,-35,-35,-35,-35
46.5,-75.749603,-73.278442,-71.115395,-71.564484,-35,-35,-35,-35
47,-75.127449,-73.084244,-71.727089,-71.615089,-35,-35,-35,-35
47.5,-74.368416,-72.329048,-72.978012,-71.35125,-35,-35,-35,-35
48,-73.70887,-71.180962,-74.544762,-70.813141,-35,-35,-35,-35
48.5,-73.347336,-70.000298,-75.980049,-70.157944,-35,-35,-35,-35
49,-73.320923,-69.149002,-76.898621,-69.527519,-35,-35,-35,-35
49.5,-73.475098,-68.789757,-77.133392,-69.014999,-35,-35,-35,-35
50,-73.556091,-68.856743,-76.865631,-68.628311,-35,-35,-35,-35
50.5,-73.319786,-69.104599,-76.545204,-68.312073,-35,-35,-35,-35
51,-72.655853,-69.278671,-76.649323,-67.946335,-35,-35,-35,-35
51.5,-71.6735,-69.301025,-77.417023,-67.415215,-35,-35,-35,-35
52,-70.647415,-69.284019,-78.680252,-66.763962,-35,-35,-35,-35
52.5,-69.917381,-69.434418,-79.987907,-66.184166,-35,-35,-35,-35
53,-69.689354,-69.887337,-80.881813,-65.938171,-35,-35,-35,-35
53.5,-69.960953,-70.606834,-81.121658,-66.210724,-35,-35,-35,-35
54,-70.592194,-71.406067,-80.800423,-66.969536,-35,-35,-35,-35
54.5,-71.358734,-72.032715,-80.204079,-67.989716,-35,-35,-35,-35
55,-72.078796,-72.347,-79.631226,-68.965797,-35,-35,-35,-35
55.5,-72.684715,-72.402504,-79.257561,-69.694534,-35,-35,-35,-35
56,-73.186768,-72.401962,-79.07476,-70.197945,-35,-35,-35,-35
56.5,-73.611389,-72.613884,-78.953445,-70.638168,-35,-35,-35,-35
57,-73.935493,-73.171539,-78.715897,-71.183708,-35,-35,-35,-35
57.5,-74.127998,-73.964127,-78.238594,-71.880157,-35,-35,-35,-35
58,-74.216057,-74.683113,-77.531494,-72.585243,-35,-35,-35,-35
58.5,-74.236496,-74.990471,-76.726265,-73.030632,-35,-35,-35,-35
59,-74.243195,-74.738831,-76.012238,-72.931213,-35,-35,-35,-35
59.5,-74.288452,-74.084839,-75.52977,-72.186493,-35,-35,-35,-35
60,-74.412628,-73.391098,-75.276154,-70.999908,-35,-35,-35,-35
60.5,-74.645744,-73.030266,-75.141479,-69.800827,-35,-35,-35,-35
61,-74.960365,-73.14283,-74.956238,-69.070442,-35,-35,-35,-35
61.5,-75.280167,-73.600128,-74.625671,-69.056656,-35,-35,-35,-35
62,-75.474182,-74.104294,-74.244301,-69.667114,-35,-35,-35,-35
62.5,-75.425133,-74.380768,-73.989601,-70.598747,-35,-35,-35,-35
63,-75.120987,-74.318741,-74.004684,-71.520767,-35,-35,-35,-35
63.5,-74.639351,-73.959869,-74.261223,-72.24543,-35,-35,-35,-35
64,-74.126701,-73.448517,-74.567947,-72.784027,-35,-35,-35,-35
64.5,-73.730888,-72.949425,-74.733109,-73.250893,-35,-35,-35,-35
65,-73.523621,-72.490891,-74.690071,-73.739853,-35,-35,-35,-35
65.5,-73.531799,-72.002815,-74.53936,-74.197563,-35,-35,-35,-35
66,-73.731285,-71.39637,-74.467079,-74.437347,-35,-35,-35,-35
66.5,-74.044983,-70.670769,-74.616432,-74.26619,-35,-35,-35,-35
67,-74.369308,-69.952957,-75.037094,-73.612923,-35,-35,-35,-35
67.5,-74.551147,-69.413208,-75.629364,-72.639046,-35,-35,-35,-35
68,-74.453247,-69.207497,-76.21106,-71.674721,-35,-35,-35,-35
68.5,-73.995506,-69.381989,-76.619202,-71.068489,-35,-35,-35,-35
69,-73.152435,-69.804092,-76.789383,-71.004112,-35,-35,-35,-35
69.5,-71.955193,-70.237907,-76.82254,-71.370155,-35,-35,-35,-35
70,-70.498878,-70.461288,-76.898094,-71.845978,-35,-35,-35,-35
70.5,-69.030403,-70.39386,-77.117577,-72.068054,-35,-35,-35,-35
71,-67.952118,-70.136253,-77.432655,-71.834106,-35,-35,-35,-35
71.5,-67.627106,-69.887329,-77.609818,-71.219391,-35,-35,-35,-35
72,-68.216026,-69.864059,-77.356056,-70.45578,-35,-35,-35,-35
72.5,-69.532776,-70.154037,-76.465431,-69.796104,-35,-35,-35,-35
73,-71.099319,-70.673431,-74.978134,-69.381828,-35,-35,-35,-35
73.5,-72.400475,-71.230835,-73.235191,-69.206635,-35,-35,-35,-35
74,-73.094948,-71.647354,-71.737534,-69.186676,-35,-35,-35,-35
74.5,-73.163132,-71.88208,-70.926109,-69.23896,-35,-35,-35,-35
75,-72.852257,-72.008347,-70.983315,-69.349274,-35,-35,-35,-35
75.5,-72.485306,-72.14624,-71.731499,-69.590294,-35,-35,-35,-35
