0,-60.937492,-35.937496,-58.937492,-77.937492,-35,-35,-35,-35
0.2,-62.937492,-35.937496,-69.937492,-68.937492,-35,-35,-35,-35
0.4,-64.635155,-35.937561,-79.274971,-61.297604,-35,-35,-35,-35
0.6,-66.050171,-35.93803,-87.059837,-54.927185,-35,-35,-35,-35
0.8,-67.196243,-35.939865,-93.372169,-49.758705,-35,-35,-35,-35
1,-68.085144,-35.945152,-98.287308,-45.726398,-35,-35,-35,-35
1.2,-68.728821,-35.957474,-101.889854,-42.754162,-35,-35,-35,-35
1.4,-69.140182,-35.982018,-104.279739,-40.75045,-35,-35,-35,-35
1.6,-69.333344,-36.025265,-105.572868,-39.608208,-35,-35,-35,-35
1.8,-69.323509,-36.09444,-105.898384,-39.208076,-35,-35,-35,-35
2,-69.126701,-36.196899,-105.393959,-39.42345,-35,-35,-35,-35
2.2,-68.759438,-36.339539,-104.200272,-40.126171,-35,-35,-35,-35
2.4,-68.238228,-36.52829,-102.45546,-41.192116,-35,-35,-35,-35
2.6,-67.579239,-36.767643,-100.290184,-42.506153,-35,-35,-35,-35
2.8,-66.798157,-37.060143,-97.823891,-43.965981,-35,-35,-35,-35
3,-65.910248,-37.405975,-95.162262,-45.484718,-35,-35,-35,-35
3.2,-64.930649,-37.802799,-92.395966,-46.992088,-35,-35,-35,-35
3.4,-63.874615,-38.245941,-89.600388,-48.434471,-35,-35,-35,-35
3.6,-62.757584,-38.728893,-86.836067,-49.773975,-35,-35,-35,-35
3.8,-61.595055,-39.243942,-84.14962,-50.987045,-35,-35,-35,-35
4,-60.40237,-39.782745,-81.575058,-52.062645,-35,-35,-35,-35
4.2,-59.19458,-40.336788,-79.135445,-53.000305,-35,-35,-35,-35
4.4,-57.986462,-40.89777,-76.844757,-53.807922,-35,-35,-35,-35
4.6,-56.792572,-41.457954,-74.709846,-54.499447,-35,-35,-35,-35
4.8,-55.627144,-42.010479,-72.73214,-55.092548,-35,-35,-35,-35
5,-54.503777,-42.549557,-70.909103,-55.606464,-35,-35,-35,-35
5.2,-53.435066,-43.070515,-69.235405,-56.060249,-35,-35,-35,-35
5.4,-52.432175,-43.569645,-67.703667,-56.471478,-35,-35,-35,-35
5.6,-51.504528,-44.043972,-66.305168,-56.85548,-35,-35,-35,-35
5.8,-50.659527,-44.491039,-65.03051,-57.224873,-35,-35,-35,-35
6,-49.902332,-44.908836,-63.870159,-57.589329,-35,-35,-35,-35
6.2,-49.235653,-45.295818,-62.814873,-57.95549,-35,-35,-35,-35
6.4,-48.659531,-45.650845,-61.85601,-58.327106,-35,-35,-35,-35
6.6,-48.171326,-45.973076,-60.98568,-58.705364,-35,-35,-35,-35
6.8,-47.766006,-46.261845,-60.196915,-59.0895,-35,-35,-35,-35
7,-47.436611,-46.516624,-59.483852,-59.477524,-35,-35,-35,-35
7.2,-47.174828,-46.737217,-58.841938,-59.866917,-35,-35,-35,-35
7.4,-46.971596,-46.924126,-58.267948,-60.255226,-35,-35,-35,-35
7.6,-46.817562,-47.078907,-57.759789,-60.640408,-35,-35,-35,-35
7.8,-46.703362,-47.204304,-57.316021,-61.020962,-35,-35,-35,-35
8,-46.619862,-47.304119,-56.935352,-61.395947,-35,-35,-35,-35
8.2,-46.558556,-47.382904,-56.616295,-61.764969,-35,-35,-35,-35
8.4,-46.511955,-47.445526,-56.357033,-62.128063,-35,-35,-35,-35
8.6,-46.473946,-47.496738,-56.155464,-62.485481,-35,-35,-35,-35
8.8,-46.439968,-47.540947,-56.009182,-62.837379,-35,-35,-35,-35
9,-46.40699,-47.582085,-55.915394,-63.183529,-35,-35,-35,-35
9.2,-46.373398,-47.623547,-55.870674,-63.523087,-35,-35,-35,-35
