0,-52.937492,-54.937492,-55.937492,-46.937496,-59.937492,-47.937496,-66.937492,-59.937492,-65.937492,-42.937496,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
0.5,-54.937492,-50.937492,-50.937492,-60.937492,-54.937492,-59.937492,-53.937492,-59.937492,-52.937492,-52.937492,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
1,-56.440876,-47.93391,-47.164684,-71.46756,-51.164684,-68.967361,-44.167088,-59.892853,-43.151146,-60.502239,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
1.5,-57.267742,-46.209076,-45.039673,-77.371658,-49.017353,-74.037262,-38.672421,-59.756451,-37.603889,-64.918678,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
2,-57.405788,-45.694668,-44.603855,-78.602959,-48.521301,-75.086609,-37.424751,-59.528095,-36.210468,-66.327538,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
2.5,-57.007431,-46.045784,-45.520836,-76.155159,-49.342434,-72.930672,-39.468082,-59.269909,-37.898277,-65.578735,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
3,-56.314514,-46.779301,-47.247082,-71.571785,-50.960659,-68.87059,-43.381119,-59.078098,-41.171288,-63.758205,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
3.5,-55.585976,-47.479424,-49.178577,-66.456474,-52.829109,-64.256943,-47.764812,-58.98439,-44.664883,-61.789669,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
4,-55.031822,-47.891239,-50.81501,-62.065517,-54.482872,-60.139641,-51.591885,-58.938137,-47.521286,-60.209419,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
4.5,-54.763432,-47.953964,-51.905014,-59.093582,-55.608688,-57.12397,-54.322296,-58.866447,-49.47187,-59.178253,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
5,-54.766495,-47.763355,-52.463905,-57.629116,-56.076435,-55.412727,-55.886711,-58.737625,-50.66061,-58.614887,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
5.5,-54.911034,-47.483757,-52.719189,-57.299274,-55.979046,-54.874424,-56.536572,-58.606579,-51.425152,-58.339764,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
6,-55.040489,-47.300144,-52.932819,-57.532402,-55.581173,-55.162148,-56.666283,-58.538788,-52.041119,-58.186646,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
6.5,-55.035187,-47.363308,-53.272121,-57.787891,-55.185963,-55.832897,-56.681473,-58.522129,-52.619873,-58.044518,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
7,-54.830368,-47.735138,-53.791138,-57.714695,-55.022736,-56.462601,-56.861679,-58.464355,-53.1385,-57.844887,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
7.5,-54.432289,-48.385921,-54.440933,-57.242992,-55.134659,-56.790154,-57.270699,-58.237301,-53.526268,-57.58989,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
8,-53.913673,-49.194393,-55.105473,-56.501743,-55.417885,-56.757298,-57.813236,-57.77676,-53.761204,-57.302151,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
8.5,-53.402138,-50.006199,-55.658134,-55.704937,-55.736023,-56.477642,-58.313946,-57.115597,-53.884007,-56.989277,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
9,-53.051731,-50.727268,-56.026752,-55.065742,-55.981251,-56.15321,-58.589272,-56.361778,-53.953106,-56.673599,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
9.5,-52.939651,-51.315948,-56.231346,-54.704025,-56.14706,-55.94471,-58.522808,-55.66095,-54.01778,-56.402378,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
10,-53.031651,-51.75605,-56.323574,-54.635101,-56.314579,-55.912434,-58.104954,-55.12714,-54.102245,-56.269962,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
10.5,-53.194588,-52.050301,-56.333187,-54.775837,-56.565262,-56.009331,-57.464573,-54.816574,-54.212498,-56.38755,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
11,-53.249847,-52.19331,-56.247379,-54.994236,-56.944294,-56.138535,-56.802799,-54.730545,-54.371414,-56.783039,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
11.5,-53.086243,-52.217728,-55.989391,-55.199997,-57.402737,-56.240608,-56.32515,-54.76886,-54.599098,-57.352352,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
12,-52.710796,-52.196838,-55.496632,-55.328983,-57.819901,-56.295269,-56.150852,-54.758938,-54.905445,-57.867218,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
12.5,-52.260323,-52.211811,-54.775249,-55.338558,-58.083748,-56.287128,-56.247856,-54.545513,-55.250671,-58.08812,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
13,-51.947773,-52.342159,-53.927063,-55.229839,-58.143085,-56.178192,-56.466122,-54.066746,-55.538979,-57.870758,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
13.5,-51.929321,-52.628872,-53.133335,-55.013325,-58.060902,-55.901821,-56.619083,-53.420822,-55.668842,-57.196945,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
14,-52.230022,-53.089943,-52.557957,-54.721447,-57.994911,-55.438934,-56.554516,-52.803024,-55.547153,-56.2155,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
14.5,-52.734028,-53.739101,-52.285946,-54.409435,-58.130527,-54.819981,-56.222607,-52.380589,-55.136993,-55.201534,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
