0,10.156249,12.656249,0.15625,12.656249,-2.34375,5.15625,7.656249,0.15625,-2.34375,-35,-35,-35,-35,-35,-35,-35,-35,-35
0.5,-7.34375,5.15625,12.656249,0.15625,12.656249,7.656249,-7.34375,12.656249,0.15625,-35,-35,-35,-35,-35,-35,-35,-35,-35
1,-20.438576,-0.477456,22.008558,-9.227944,23.963516,9.515551,-18.603189,21.984644,2.007581,-35,-35,-35,-35,-35,-35,-35,-35,-35
1.5,-27.631876,-3.631212,27.129892,-14.523006,30.36264,10.479411,-24.94499,27.057388,2.973844,-35,-35,-35,-35,-35,-35,-35,-35,-35
2,-28.896027,-4.34201,27.971241,-15.863174,31.801922,10.403225,-26.415739,27.82881,3.028169,-35,-35,-35,-35,-35,-35,-35,-35,-35
2.5,-25.525305,-3.226187,25.397024,-14.281994,29.314631,9.231685,-24.110466,25.193333,2.379069,-35,-35,-35,-35,-35,-35,-35,-35,-35
3,-19.518909,-1.165165,20.75062,-11.180237,24.47706,7.070036,-19.672331,20.573479,1.441313,-35,-35,-35,-35,-35,-35,-35,-35,-35
3.5,-12.872074,1.024791,15.400023,-7.796608,18.86434,4.223547,-14.674201,15.416008,0.655749,-35,-35,-35,-35,-35,-35,-35,-35,-35
4,-7.032207,2.850579,10.413945,-4.882404,13.630223,1.192129,-10.20143,10.795242,0.347489,-35,-35,-35,-35,-35,-35,-35,-35,-35
4.5,-2.721138,4.14907,6.450341,-2.666451,9.367636,-1.452707,-6.760528,7.234213,0.607222,-35,-35,-35,-35,-35,-35,-35,-35,-35
5,-0.017788,4.986946,3.763081,-1.058773,6.23248,-3.270149,-4.41781,4.744498,1.279537,-35,-35,-35,-35,-35,-35,-35,-35,-35
5.5,1.407492,5.555837,2.298512,0.121145,4.04854,-4.056236,-3.072487,3.054534,2.078974,-35,-35,-35,-35,-35,-35,-35,-35,-35
6,2.013914,6.027398,1.835563,0.978925,2.45544,-3.895025,-2.604689,1.805264,2.722995,-35,-35,-35,-35,-35,-35,-35,-35,-35
6.5,2.244073,6.464562,2.027831,1.549179,1.096714,-3.00306,-2.835206,0.73208,3.051726,-35,-35,-35,-35,-35,-35,-35,-35,-35
7,2.363152,6.761226,2.50535,1.821272,-0.194489,-1.584273,-3.499515,-0.219087,3.145491,-35,-35,-35,-35,-35,-35,-35,-35,-35
7.5,2.426354,6.700822,2.97841,1.77562,-1.316777,0.207295,-4.223063,-0.947836,3.271993,-35,-35,-35,-35,-35,-35,-35,-35,-35
8,2.413125,6.151798,3.296805,1.492966,-2.041116,2.263875,-4.610709,-1.325124,3.73048,-35,-35,-35,-35,-35,-35,-35,-35,-35
8.5,2.323544,5.155546,3.51873,1.185992,-2.200229,4.460592,-4.414776,-1.276147,4.607804,-35,-35,-35,-35,-35,-35,-35,-35,-35
9,2.263375,3.911703,3.79964,1.126451,-1.78573,6.608462,-3.592737,-0.874018,5.689675,-35,-35,-35,-35,-35,-35,-35,-35,-35
9.5,2.400217,2.700292,4.241415,1.487288,-1.00607,8.447989,-2.312793,-0.289135,6.619097,-35,-35,-35,-35,-35,-35,-35,-35,-35
10,2.843546,1.759645,4.77295,2.202738,-0.197966,9.669225,-0.890573,0.295593,7.058219,-35,-35,-35,-35,-35,-35,-35,-35,-35
10.5,3.567526,1.262236,5.150847,3.049114,0.345348,10.02637,0.382684,0.754529,6.862215,-35,-35,-35,-35,-35,-35,-35,-35,-35
11,4.351624,1.258022,5.146033,3.801286,0.512817,9.446442,1.341431,1.072401,6.133455,-35,-35,-35,-35,-35,-35,-35,-35,-35
