0,-34.687496,-4.6875,-19.687498,-19.687498,-49.687496,-14.687499,-29.687498,5.3125,-19.687498,-39.687496,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
0.5,-9.687499,-29.687498,-9.687499,-4.6875,-14.687499,-19.687498,-19.687498,-24.687498,-9.687499,-19.687498,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
1,9.14466,-48.519657,-2.202463,6.548026,11.661582,-23.485815,-12.138691,-47.254204,-2.170578,-4.589885,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
1.5,19.859043,-59.202156,1.957413,12.721666,26.669714,-25.708359,-7.82267,-60.003101,2.011571,4.105927,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
2,22.536142,-61.729443,2.83009,13.76794,30.562925,-26.275135,-6.739644,-63.046242,2.798989,6.507836,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
2.5,19.022858,-57.893471,1.15776,10.742644,26.021147,-25.394894,-8.172466,-58.680164,0.883281,4.083591,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
3,11.96911,-50.40427,-2.038948,5.316723,16.783766,-23.426781,-11.065204,-50.245583,-2.630876,-1.13851,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
3.5,3.874241,-41.983009,-5.887567,-0.795475,6.334757,-20.803097,-14.365954,-40.942497,-6.580022,-7.275272,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
4,-3.543426,-34.636818,-9.806918,-6.301592,-2.926705,-18.003864,-17.311993,-32.960087,-10.09969,-13.013279,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
4.5,-9.453032,-29.355417,-13.397555,-10.523394,-9.859,-15.463792,-19.514565,-27.267429,-12.744165,-17.642952,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
5,-13.666497,-26.221947,-16.365957,-13.363317,-14.342189,-13.500825,-20.895235,-23.863419,-14.426685,-20.891937,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
5.5,-16.381611,-24.75996,-18.497297,-15.092899,-16.911001,-12.243789,-21.629475,-22.249512,-15.319058,-22.826801,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
6,-17.924612,-24.375225,-19.744022,-16.047232,-18.288181,-11.620453,-21.968422,-21.839676,-15.712371,-23.751261,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
6.5,-18.610159,-24.592407,-20.258341,-16.501959,-19.115854,-11.499922,-22.091019,-22.128157,-15.895924,-24.100435,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
7,-18.711924,-25.093792,-20.303375,-16.656672,-19.791439,-11.753507,-21.98444,-22.741924,-16.131136,-24.325861,-35,-35,-35,-35,-35,-35,-35,-35,-35,-35
