0,-9.687499,-24.687498,-4.6875,-14.687499,-19.687498,-35,-35,-35,-35,-35
0.5,-29.687498,-19.687498,-29.687498,-14.687499,-24.687498,-35,-35,-35,-35,-35
1,-44.72134,-15.937009,-48.487774,-14.703442,-28.469873,-35,-35,-35,-35,-35
1.5,-53.165352,-13.843531,-59.132057,-14.778349,-30.697222,-35,-35,-35,-35,-35
2,-55.003128,-13.375111,-61.76535,-14.939692,-31.46125,-35,-35,-35,-35,-35
2.5,-51.629444,-14.152412,-58.349255,-15.197274,-31.214663,-35,-35,-35,-35,-35
3,-45.169106,-15.656722,-51.6506,-15.571653,-30.508667,-35,-35,-35,-35,-35
3.5,-37.788593,-17.428436,-44.209736,-16.123375,-29.740313,-35,-35,-35,-35,-35
4,-31.155704,-19.146894,-37.691517,-16.912754,-29.07856,-35,-35,-35,-35,-35
4.5,-26.164326,-20.583673,-32.756016,-17.899176,-28.426821,-35,-35,-35,-35,-35
5,-22.938431,-21.618475,-29.297543,-18.967171,-27.569,-35,-35,-35,-35,-35
5.5,-21.056948,-22.243113,-26.798183,-20.001865,-26.47204,-35,-35,-35,-35,-35
6,-19.893715,-22.573271,-24.73204,-20.921192,-25.324295,-35,-35,-35,-35,-35
6.5,-18.919415,-22.830112,-22.818375,-21.714821,-24.390453,-35,-35,-35,-35,-35
7,-17.924541,-23.238792,-21.103527,-22.399935,-23.868603,-35,-35,-35,-35,-35
7.5,-16.986162,-23.91144,-19.828047,-22.994204,-23.77984,-35,-35,-35,-35,-35
8,-16.284592,-24.78039,-19.236185,-23.507385,-23.977062,-35,-35,-35,-35,-35
8.5,-15.978937,-25.609383,-19.455927,-23.893427,-24.197739,-35,-35,-35,-35,-35
9,-16.137188,-26.101465,-20.418053,-24.083933,-24.221514,-35,-35,-35,-35,-35
9.5,-16.72728,-26.039698,-21.845392,-24.053467,-24.050726,-35,-35,-35,-35,-35
10,-17.630667,-25.380177,-23.379955,-23.884705,-23.862511,-35,-35,-35,-35,-35
10.5,-18.639053,-24.274246,-24.687864,-23.772934,-23.879333,-35,-35,-35,-35,-35
11,-19.539122,-22.964729,-25.55682,-23.908169,-24.249636,-35,-35,-35,-35,-35
11.5,-20.162411,-21.693159,-25.906107,-24.371304,-24.909121,-35,-35,-35,-35,-35
12,-20.436592,-20.640722,-25.755003,-25.080606,-25.64654,-35,-35,-35,-35,-35
12.5,-20.41576,-19.901632,-25.236757,-25.784466,-26.227694,-35,-35,-35,-35,-35
13,-20.179621,-19.484234,-24.51053,-26.241352,-26.529848,-35,-35,-35,-35,-35
13.5,-19.774336,-19.316553,-23.719791,-26.315842,-26.623945,-35,-35,-35,-35,-35
14,-19.232374,-19.282608,-22.990845,-26.002409,-26.717278,-35,-35,-35,-35,-35
14.5,-18.583555,-19.29088,-22.433222,-25.421896,-27.014156,-35,-35,-35,-35,-35
15,-17.845819,-19.308146,-22.126373,-24.754139,-27.583742,-35,-35,-35,-35,-35
15.5,-17.051607,-19.329977,-22.085257,-24.210907,-28.31741,-35,-35,-35,-35,-35
16,-16.24917,-19.334682,-22.272657,-23.976194,-29.020418,-35,-35,-35,-35,-35
16.5,-15.494706,-19.25078,-22.657415,-24.115047,-29.547045,-35,-35,-35,-35,-35
17,-14.748002,-19.014582,-23.191595,-24.606384,-29.894796,-35,-35,-35,-35,-35
17.5,-13.891891,-18.651213,-23.785988,-25.310419,-30.219597,-35,-35,-35,-35,-35
18,-12.854189,-18.312307,-24.342167,-25.974745,-30.636898,-35,-35,-35,-35,-35
