0,-129.374985,-59.374996,-49.374996,-49.374996,-39.374996,-39.374996,-69.374992,-49.374996,-59.374996,-35,-35,-35,-35,-35,-35,-35,-35,-35
0.5,-139.374985,-79.374992,-49.374996,-49.374996,-59.374996,-49.374996,-19.374998,-39.374996,-39.374996,-35,-35,-35,-35,-35,-35,-35,-35,-35
1,-146.875961,-94.376945,-49.374996,-49.343109,-74.376953,-56.875977,18.161779,-31.842131,-24.373037,-35,-35,-35,-35,-35,-35,-35,-35,-35
1.5,-151.062927,-102.782745,-49.311226,-49.257069,-82.687096,-60.999161,39.150715,-27.505362,-16.062897,-35,-35,-35,-35,-35,-35,-35,-35,-35
2,-151.935989,-104.74247,-49.075367,-49.106468,-84.133606,-61.668259,43.644386,-26.182064,-14.488846,-35,-35,-35,-35,-35,-35,-35,-35,-35
2.5,-150.209305,-101.943283,-48.633968,-48.892502,-79.939194,-59.522438,35.437698,-26.95376,-18.179655,-35,-35,-35,-35,-35,-35,-35,-35,-35
3,-146.963257,-96.72966,-48.02277,-48.603558,-72.158646,-55.54805,20.163675,-28.686176,-24.895706,-35,-35,-35,-35,-35,-35,-35,-35,-35
3.5,-143.227753,-91.178734,-47.349251,-48.13216,-62.993412,-50.793667,3.236015,-30.46002,-32.49358,-35,-35,-35,-35,-35,-35,-35,-35,-35
4,-139.686234,-86.548004,-46.802002,-47.337555,-54.291988,-46.177883,-11.55833,-31.880138,-39.513718,-35,-35,-35,-35,-35,-35,-35,-35,-35
4.5,-136.63089,-83.266884,-46.585693,-46.191788,-47.334667,-42.361824,-22.549347,-32.97649,-45.304661,-35,-35,-35,-35,-35,-35,-35,-35,-35
5,-134.127716,-81.252785,-46.882336,-44.797699,-42.776455,-39.718822,-29.798704,-33.939972,-49.872208,-35,-35,-35,-35,-35,-35,-35,-35,-35
5.5,-132.238953,-80.285919,-47.768578,-43.39246,-40.717388,-38.272316,-34.247456,-34.882404,-53.541191,-35,-35,-35,-35,-35,-35,-35,-35,-35
6,-131.066284,-80.199364,-49.205322,-42.226227,-40.815247,-37.747234,-36.918686,-35.706932,-56.589939,-35,-35,-35,-35,-35,-35,-35,-35,-35
6.5,-130.684036,-80.781212,-51.056347,-41.437588,-42.398251,-37.703144,-38.547527,-36.263542,-59.082256,-35,-35,-35,-35,-35,-35,-35,-35,-35
