0,-49.999996,-39.999996,-44.999996,-34.999996,-34.999996,-64.999992,-44.999996,-35,-35,-35,-35,-35,-35,-35
0.5,-24.999998,-24.999998,-54.999996,-44.999996,-49.999996,-54.687496,-34.999996,-35,-35,-35,-35,-35,-35,-35
1,-6.182785,-13.77942,-62.452152,-52.547806,-61.266411,-46.90329,-27.545849,-35,-35,-35,-35,-35,-35,-35
1.5,4.477316,-7.677001,-66.457535,-56.859146,-67.586182,-42.374027,-23.532101,-35,-35,-35,-35,-35,-35,-35
2,7.047175,-6.815565,-66.947617,-57.961979,-69.01152,-40.964188,-23.070372,-35,-35,-35,-35,-35,-35,-35
2.5,3.354452,-10.154461,-64.624527,-56.592728,-66.709908,-41.771965,-25.553427,-35,-35,-35,-35,-35,-35,-35
3,-4.000542,-15.964197,-60.685875,-53.769257,-62.416405,-43.596016,-29.941183,-35,-35,-35,-35,-35,-35,-35
3.5,-12.576919,-22.467815,-56.399006,-50.496258,-57.751095,-45.451614,-35.153088,-35,-35,-35,-35,-35,-35,-35
4,-20.707541,-28.37693,-52.75309,-47.607399,-53.771366,-46.783569,-40.319996,-35,-35,-35,-35,-35,-35,-35
4.5,-27.550531,-33.072571,-50.279732,-45.721439,-50.846317,-47.463669,-44.889503,-35,-35,-35,-35,-35,-35,-35
5,-32.814693,-36.475506,-49.051277,-45.148148,-48.771774,-47.639824,-48.556385,-35,-35,-35,-35,-35,-35,-35
5.5,-36.497665,-38.774979,-48.856949,-45.711895,-47.128437,-47.514042,-51.128201,-35,-35,-35,-35,-35,-35,-35
6,-38.703762,-40.213127,-49.386627,-46.850254,-45.51786,-47.294228,-52.535275,-35,-35,-35,-35,-35,-35,-35
6.5,-39.609768,-41.038795,-50.356613,-47.889729,-43.646908,-47.099789,-52.883507,-35,-35,-35,-35,-35,-35,-35
7,-39.482079,-41.457367,-51.514675,-48.365047,-41.394783,-46.926121,-52.449989,-35,-35,-35,-35,-35,-35,-35
